Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
255;T.J. McConnell;PG;30;IND;6;0;14.2;1.5;4.8;0.31;0;0;0;1.5;4.8;0.31;0.31;0;0;0;0.5;1.2;1.7;2.8;1.2;0.3;1.5;0.7;3
256;Jaden McDaniels;PF;22;MIN;6;6;31.7;4.2;7.7;0.543;1;3;0.333;3.2;4.7;0.679;0.609;2.3;2.7;0.875;1.3;1.7;3;1.2;1.5;1.8;1;3.2;11.7
257;Jalen McDaniels;SF;25;CHO;5;0;23;3.4;7;0.486;1.8;2.8;0.643;1.6;4.2;0.381;0.614;1.6;1.6;1;0.6;5;5.6;2.2;0.6;0.8;0.8;2.8;10.2
258;Doug McDermott;SF;31;SAS;6;0;20.2;3.5;8.3;0.42;2;4.7;0.429;1.5;3.7;0.409;0.54;0.8;1;0.833;0.5;1.8;2.3;1.7;0;0.2;0.7;1.8;9.8
259;JaVale McGee;C;35;DAL;4;4;12.8;2.3;4.3;0.529;0;0;0;2.3;4.3;0.529;0.529;1.8;3;0.583;1.8;2;3.8;0.5;0.5;1;1.5;1.3;6.3
260;Bryce McGowens;SG;20;CHO;4;0;3.3;0.5;1;0.5;0;0.3;0;0.5;0.8;0.667;0.5;0;0;0;0;0.3;0.3;0.3;0.3;0.3;0;0;1
261;Rodney McGruder;SG;31;DET;2;0;4;0.5;1.5;0.333;0.5;1.5;0.333;0;0;0;0.5;0;0;0;0;0.5;0.5;0;0;0;0;0;1.5
262;Jordan McLaughlin;PG;26;MIN;5;0;16.6;1.4;3.4;0.412;0.2;1.6;0.125;1.2;1.8;0.667;0.441;0.4;0.4;1;0.4;1.8;2.2;3.4;0.8;0;0.8;0.6;3.4
263;De'Anthony Melton;PG;24;PHI;6;1;20.8;3.3;7;0.476;1.2;3.2;0.368;2.2;3.8;0.565;0.56;0.5;0.5;1;0.3;2.7;3;2.2;2.2;0;0.2;1.3;8.3
264;Chimezie Metu;C;25;SAC;3;0;8.3;0.7;2.3;0.286;0;1;0;0.7;1.3;0.5;0.286;0.7;0.7;1;0;2.3;2.3;1;0.3;0.3;0;1;2
265;Patty Mills;PG;34;BRK;5;0;17.4;2;4.8;0.417;1.8;4.2;0.429;0.2;0.6;0.333;0.604;1.2;1.2;1;0.4;0.6;1;1.2;0;0;0.4;0.2;7
266;Shake Milton;SG;26;PHI;2;0;7.5;0.5;2;0.25;0;0;0;0.5;2;0.25;0.25;0;0;0;0;0.5;0.5;1;0;0;0;1;1
267;Davion Mitchell;PG;24;SAC;4;0;16.5;2;6;0.333;0.5;2.8;0.182;1.5;3.3;0.462;0.375;0.5;0.5;1;0;1.3;1.3;2.5;0.3;0;0.5;1.8;5
268;Donovan Mitchell;SG;26;CLE;5;5;39.4;10.8;22.8;0.474;3.4;8.4;0.405;7.4;14.4;0.514;0.548;6;6.8;0.882;1.4;3.4;4.8;6.4;1.8;0.2;4.2;3.2;31
269;Evan Mobley;PF;21;CLE;5;5;34.6;6;10.4;0.577;0.4;1.2;0.333;5.6;9.2;0.609;0.596;3.4;4.4;0.773;1.2;4.6;5.8;2;1.2;1.2;2.6;2.6;15.8
270;Isaiah Mobley;PF;23;CLE;1;0;4;1;1;1;1;1;1;0;0;0;1.5;0;0;0;0;1;1;0;0;0;0;1;3
271;Chima Moneke;SF;27;SAC;1;0;6;0;1;0;0;0;0;0;1;0;0;0;2;0;2;0;2;1;0;0;0;2;0
272;Malik Monk;SG;24;SAC;4;0;19.8;3.3;8.8;0.371;2.3;6;0.375;1;2.8;0.364;0.5;0.5;0.8;0.667;1;2.3;3.3;4.8;1;0.5;1.5;1;9.3
273;Moses Moody;SG;20;GSW;5;0;16.2;1.8;5;0.36;1.2;3.4;0.353;0.6;1.6;0.375;0.48;1.2;1.6;0.75;0.4;1.6;2;0.4;0.4;0.8;1.4;0.4;6
274;Wendell Moore Jr.;SG;21;MIN;1;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
275;Ja Morant;PG;23;MEM;5;5;32.8;10.8;20.4;0.529;2.6;4.6;0.565;8.2;15.8;0.519;0.593;8.4;9.6;0.875;1.4;3;4.4;6.8;0.8;0.6;3.4;2.2;32.6
276;Marcus Morris;PF;33;LAC;3;3;25;6.3;10;0.633;1.3;3;0.444;5;7;0.714;0.7;1;1;1;0.7;4;4.7;1.3;1;0;0.7;2.7;15
